      Step     Time          Energy          fmax
BFGS:   53 02:05:33      -98.944688        0.028319
BFGS:   54 02:05:35      -98.944693        0.035872
BFGS:   55 02:05:37      -98.944696        0.032903
BFGS:   56 02:05:39      -98.944700        0.024509
BFGS:   57 02:05:55      -98.944708        0.024872
BFGS:   58 02:05:57      -98.944716        0.033325
BFGS:   59 02:05:59      -98.944718        0.029849
BFGS:   60 02:06:01      -98.944716        0.026689
BFGS:   61 02:06:03      -98.944719        0.028565
BFGS:   62 02:06:06      -98.944729        0.030318
BFGS:   63 02:06:08      -98.944732        0.033858
BFGS:   64 02:06:10      -98.944723        0.030901
BFGS:   65 02:06:12      -98.944716        0.027144
BFGS:   66 02:06:14      -98.944719        0.034543
BFGS:   67 02:06:17      -98.944723        0.037681
BFGS:   68 02:06:19      -98.944715        0.035860
BFGS:   69 02:06:21      -98.944694        0.038589
BFGS:   70 02:06:23      -98.944681        0.042561
BFGS:   71 02:06:26      -98.944688        0.047034
BFGS:   72 02:06:28      -98.944696        0.046863
BFGS:   73 02:06:30      -98.944683        0.046168
BFGS:   74 02:06:32      -98.944655        0.044689
BFGS:   75 02:06:35      -98.944638        0.040761
BFGS:   76 02:06:37      -98.944642        0.042918
BFGS:   77 02:06:39      -98.944653        0.045447
BFGS:   78 02:06:41      -98.944658        0.048980
BFGS:   79 02:06:44      -98.944660        0.055236
BFGS:   80 02:06:46      -98.944667        0.055072
BFGS:   81 02:06:49      -98.944686        0.040347
BFGS:   82 02:06:51      -98.944707        0.047014
BFGS:   83 02:06:53      -98.944717        0.039939
BFGS:   84 02:06:55      -98.944709        0.049877
BFGS:   85 02:06:57      -98.944699        0.047954
BFGS:   86 02:07:00      -98.944707        0.035371
BFGS:   87 02:07:02      -98.944728        0.032285
BFGS:   88 02:07:04      -98.944736        0.044542
BFGS:   89 02:07:06      -98.944730        0.035854
BFGS:   90 02:07:08      -98.944729        0.034363
BFGS:   91 02:07:11      -98.944744        0.028517
BFGS:   92 02:07:13      -98.944755        0.035348
BFGS:   93 02:07:15      -98.944751        0.032625
BFGS:   94 02:07:18      -98.944745        0.025430
BFGS:   95 02:07:20      -98.944751        0.024365
BFGS:   96 02:07:22      -98.944761        0.021538
BFGS:   97 02:07:24      -98.944762        0.023777
BFGS:   98 02:07:27      -98.944758        0.021037
BFGS:   99 02:07:29      -98.944760        0.017032
BFGS:  100 02:07:31      -98.944765        0.016715
BFGS:  101 02:07:33      -98.944767        0.017578
BFGS:  102 02:07:35      -98.944765        0.017768
BFGS:  103 02:07:38      -98.944765        0.016064
BFGS:  104 02:07:40      -98.944767        0.015807
BFGS:  105 02:07:42      -98.944768        0.012083
BFGS:  106 02:07:44      -98.944768        0.013982
BFGS:  107 02:07:46      -98.944768        0.011563
BFGS:  108 02:07:58      -98.944769        0.010298
BFGS:  109 02:08:01      -98.944769        0.008988
Neb Finished!
